timestamp,longitude,latitude,altitude,numberUsedSatellites,quality,pdop,lastRtkCorrections,horizontalAccuracy,verticalAccuracy
1725258667999571679,7.8632934,47.3003407,413.356,23,GNSS_FIX_VALID,1.06,0.0,0.553,0.884
1725258668499571526,7.8632983,47.3003298,413.006,23,GNSS_FIX_VALID,1.19,1.72525866800198042E18,1.328,1.084
1725258668999571374,7.8632973,47.3003306,413.094,23,RTK_FLOAT_AMBIGUITIES,1.19,1.72525866800198042E18,0.59,0.632
1725258669499571220,7.8632973,47.3003306,413.108,25,RTK_FLOAT_AMBIGUITIES,1.19,1.72525866906239206E18,0.427,0.48
1725258669999571068,7.8632978,47.3003269,413.033,25,RTK_FLOAT_AMBIGUITIES,1.19,1.72525866906239206E18,0.518,0.538
1725258670499570914,7.8632978,47.3003267,413.019,25,RTK_FLOAT_AMBIGUITIES,1.19,1.72525867020481152E18,0.376,0.412
1725258670999570764,7.8633018,47.3003048,410.704,25,RTK_FIXED_AMBIGUITIES,1.17,1.72525867020481152E18,0.014,0.01
1725258671499570610,7.8633018,47.3003048,410.703,25,RTK_FIXED_AMBIGUITIES,1.17,1.72525867103173376E18,0.014,0.01
1725258671999570459,7.8633018,47.3003048,410.7,25,RTK_FIXED_AMBIGUITIES,1.17,1.72525867103173376E18,0.014,0.01
1725258672499570305,7.8633018,47.3003048,410.699,25,RTK_FIXED_AMBIGUITIES,1.17,1.7252586720306729E18,0.014,0.011
1725258672999570152,7.8633018,47.3003048,410.699,25,RTK_FIXED_AMBIGUITIES,1.17,1.7252586720306729E18,0.014,0.011
1725258673499569998,7.8633018,47.3003048,410.697,25,RTK_FIXED_AMBIGUITIES,1.17,1.72525867302779264E18,0.014,0.011